f,c,asset
61895,65535,Arctic.png
58254,61894,Cloud world.png
54613,58253,Cottage hill.png
50972,54612,Dangerous cliff.png
47331,50971,Dark crevice.png
43690,47330,Dry desert cleaned.png
40049,43689,Enchanted land.png
36408,40048,Gem fields.png
32767,36407,Golf course.png
29126,32766,Grassy knoll with ducks.png
25485,29125,Lonely islands WIP cleaned.png
21844,25484,Moonscape.png
18203,21843,Pantheon.png
14562,18202,Pyramid stone.png
10921,14561,Rocky road.png
7280,10920,Rope bridge.png
3639,7279,Toxic waste.png
1,3638,Treetops.png
