f,c,asset
62557,65535,Beach stuff.png
59578,62556,Computer.png
56599,59577,Crown.png
53620,56598,Deer fix.png
50641,53619,Door frame.png
47662,50640,Dragon scimmy.png
44683,47661,Duck Xing.png
41704,44682,Easel.png
38725,41703,Easter box.png
35746,38724,Kitty.png
32767,35745,Monolith.png
29788,32766,Pancakes.png
26809,29787,Portal blue.png
23830,26808,Portal.png
20851,23829,Spaceship.png
17872,20850,Statue.png
14893,17871,Suitcase.png
11914,14892,Sword.png
8935,11913,Tomb.png
5956,8934,Topiary.png
2977,5955,Totem pole.png
1,2976,d20.png
